product_name,gw_sku,amazon_url
Captain in Phobos Armour,48-102,https://www.amazon.com/Warhammer-Marine-Captain-Phobos-Armour/dp/B08FZSLZT1/ref=sr_1_1?crid=3HXB5R4U6LJVC&dib=eyJ2IjoiMSJ9.dmEnu0N910x0krxanZb4uUpTRS4dEBEXNW11Vmgq3oLU_ZRIO542YiW2wFWURoqdFP2sVr7DnEq7rlZP0__AdCGhk2dx7wt5bbfigFln5J8.GxttQB8vjVKvH1YFzmBFyLBIub4Xo-OosCc0iWk8zIo&dib_tag=se&keywords=Captain+in+Phobos+Armour&qid=1777825520&sprefix=captain+in+phobos+armour%2Caps%2C206&sr=8-1
Captain in Terminator Armour,48-103,https://www.amazon.com/Games-Workshop-Warhammer-Marines-Terminator/dp/B0CVRZKPV3/ref=sr_1_1?crid=OY6Y03XRZY0U&dib=eyJ2IjoiMSJ9.cO1yEk_ajiN5s2Heccz-L2fsrqyrOt46VGU0dboOCtcJaNIDSJuzYdfPged7JIHMXgDhFfQGMx3cibZm9ZwRzCEUNKUiZ2Qq3plegzx4PUVbu2WBKWpS3Z_mon5FON8DykEHDhriOdnq8XAVvu0zsL4leRvgcbOJtm4CDUWyl_U.lzHk67Sq8ZR7qtlD4RZx1T7UqS3vzUbq4kMu1CXUAHQ&dib_tag=se&keywords=Captain+in+Terminator+Armour&qid=1777825533&sprefix=captain+in+terminator+armour%2Caps%2C212&sr=8-1
Captain Titus and The Wardens of Ultramar,55-31,https://www.amazon.com/Games-Workshop-Warhammer-Marines-Ultramar/dp/B0GF8W95HF/ref=sr_1_2?crid=7C992ONH2Y9K&dib=eyJ2IjoiMSJ9.c0OpMPvq8EF4QnXm_HA6bptlGbrwEqDnOxYDEJP0NAGk_PULh4_-bKstEa5wMpmiaUqdgaM__jrJoU8RFZHcrsx6yyqdu-pl5gUSMkMUP_EAWGL10Zn28Yn-XbgZwjuF0OlSseiU-5e65x36UGGqtbju74KzQsNt8jQqmy4yCNHW6B5ySPcni4TwfDsYtA8DVinVBp1XrK4zxYrGqSPPjfGjnspF2xk6_5tl6soKxTE.S0GG1aiye6AkMySGFNR18MUxkNl1CTaPVYivcMKzh9E&dib_tag=se&keywords=Captain+Titus&qid=1777825565&sprefix=captain+titus+%2Caps%2C197&sr=8-2
Captain with Jump Pack,48-104,https://www.amazon.com/Games-Workshop-Warhammer-Marines-Captain/dp/B0CJRZ2H4G/ref=sr_1_1?crid=34EMUTYHF8B6D&dib=eyJ2IjoiMSJ9.GCDkPkcCTYCG9uJqFqxKoAhpWAJEt1el8J-hhCs681j4TYd5vIXGS4qzd-Eeijl8rbYDqyLNhaJhwwUHIGJ919kwjVZS7t1JpYJVzQaK-oyS2O9znhMl75YhiUlI5iuE3-nKz4Xo4XQVoRXDxw3OP8yFMAUzY6MPZYDPNwZT2jGOuHimU9tHRT_FYM0kpDSW4oeujdyOP-I01MShFR6AnLuc7MXy9jsn-4e6At-zG8awHKw5HVxOjcbB8v6_OsSVadpWxP5iMcdQ1qh6po2Zj-WyodITTdLdik8EIX3e6wU.noHymY7YTJdsoJ4S2n15fByc6AlZuZz9TMVuBFjJ3JY&dib_tag=se&keywords=Captain+with+Jump+Pack&qid=1777825587&sprefix=captain+with+jump+pack%2Caps%2C213&sr=8-1
Captain with Jump Pack and Relic Shield,48-105,https://www.amazon.com/Space-Marines-Captain-Relic-Shield/dp/B0FTZZS85K/ref=sr_1_1?crid=QWPCW9RPP06N&dib=eyJ2IjoiMSJ9.IHGZdii628b2wjvsfQeiYXLKUc9aGLNNqa5oWb93CrbGjHj071QN20LucGBJIEps.d0S4exK0ln04AFRieds3FOp9QHd3ffB-Q1ypw9vmCJc&dib_tag=se&keywords=Captain+with+Jump+Pack+and+Relic+Shield&qid=1777825606&sprefix=captain+with+jump+pack+and+relic+shield%2Caps%2C254&sr=8-1
Captain with Relic Shield,48-106,
Castellan Crowe,57-21,https://www.amazon.com/Games-Workshop-Warhammer-Knights-Castellan/dp/B09VH19YMN/ref=sr_1_1?crid=33SKT2LFBVJU&dib=eyJ2IjoiMSJ9.OFScDEdinLqqpOmNjLkFIl6vj_3hdlx18_THsCUjPoVG_Vl3p3SP2Gzr8MI0gGCSsKO5fEZUnaHXihPRr7vLrI-oLlTmP42fAFq5ofLeq-hDLDJvkEJljPaQSWswLWqNGU92IZf1ytNnT3wEs6UtlYLNv-L0R1hyW-3uQiIYXTqPzIYoYYpgwXYkMx2I9Ew5JlYbQP4v-YzOwQgF0kXGZg.Axc_fuNK7iJbyneZ_QOes2gNoN2vASeyprk9KiZL79g&dib_tag=se&keywords=Castellan+Crowe&qid=1777825693&sprefix=castellan+crowe%2Caps%2C173&sr=8-1
Cato Sicarius,55-32,https://www.amazon.com/Games-Workshop-Warhammer-40K-Ultramarines/dp/B0FX53MF13/ref=sr_1_1?crid=31FICIJT3WAF0&dib=eyJ2IjoiMSJ9.iiAkiIcvKOjIb7r9whJcR0jFZfE09NMwG8kUJGhDm7I5etObPaTBAfcSDffO5qNPE7bj1BrVNVk4EL12RohP5EwU38GRu378SmeAzIpsesmumMzNcS4hpqynosttgWl8fHIpIpHgc7XDZ26rf2q1f81oWWwh-40tHxEUCvsOPv_bmKbxArDw9_IPudDxaq4Y8Ap-MRlUa3Hc6nhuHkp54Jjt11QEVhHvfE1fuyTxm2cPT2_TM8T7yR6QOp-VrJlCw7facI_HiKCHJW-PcVVFiWQECuDsKWQ_nkahut5AXFs.kBWym7rlxM8BiJvW5-zkPC0_oZQ7q73kNbvvk5b5g1s&dib_tag=se&keywords=Cato+Sicarius+40K+miniature&qid=1777825720&sprefix=cato+sicarius+40k+miniature%2Caps%2C135&sr=8-1
Centurion Assault Squad,48-107,https://www.amazon.com/Games-Workshop-99120101313/dp/B08SSMBWLV/ref=sr_1_1?crid=641JA86520I6&dib=eyJ2IjoiMSJ9.1BQtZnpFY96HcheZrVMXnpkHBswKVb-x2zSkCh9lYhG_G3u5FchCuuGLZUbrRHKXA2Dc3m5V0yPHEVTWAwoGMpqg84rJRBXHG6RkZz29OGFiU7OKui5Hfi1QnuXQo0DOI-TgwBAYbgrSK6mhoyvHxf0tlFSjP46H5NrzQkReY0IOd4kgPy4RrDnHfOM20EVvAFxghIZ-4ve3YuiHROJhdPIsZhSSxY1A4fxBNHsmqkA.IY39eYJUGbIv2o8InsYYPkRLZfCX02k6yOWPq_rr8QY&dib_tag=se&keywords=Centurion+Assault+Squad&qid=1777825733&sprefix=centurion+assault+squad%2Caps%2C185&sr=8-1
Centurion Devastator Squad,48-108,https://www.amazon.com/Games-Workshop-99120101313/dp/B08SSMBWLV/ref=sr_1_1?crid=ZFH2B76EXT28&dib=eyJ2IjoiMSJ9.1BQtZnpFY96HcheZrVMXnoqc5vr_EPyGhRYA6gJpTURwVkAts_FYZnMVvoTkxQHkwmyuJ7puio_rpzbGBnW3LYMO_kcIt4fUNY4WyrQTF0Jc69yXEH8ykvzkJrspxUo6.9VAoGCgS8paYB5kGjjupu0-M3jWWVwewIJcGlpfwXj0&dib_tag=se&keywords=Centurion+Devastator+Squad&qid=1777825748&sprefix=centurion+devastator+squad%2Caps%2C240&sr=8-1
Chaos Defiler,P-CSM-DEFILER-2026,
Chaos Helbrute,prod2430129-99120102043,https://www.amazon.com/Games-Workshop-Warhammer-Chaos-Helbrute/dp/B00J0AYRWS/ref=sr_1_1?crid=21QNXCZSRZRMM&dib=eyJ2IjoiMSJ9.2MwjuCCsjumW4GygRcAXzSc6Xd1xtGqXx-hH48X1E-HlcklE1lZHqYU4fmzGvhuOJjnELI2L0ALjZY21SlWlr3-v5Cm8dGD5-VCVnB5dfiGRnMrcaJz8EP-uw_UK8Y51_NBKLSm2nsJ8TRI95JU1FA.s0-8XFN8ah4LJacUCoclLptzyjr-7k_WY2hh2BrfFXI&dib_tag=se&keywords=Chaos+Helbrute&qid=1777825820&sprefix=chaos+helbrute%2Caps%2C221&sr=8-1
Chaos Land Raider,99120102052,https://www.amazon.com/Space-Marine-Raider-Redeemer-Crusader/dp/B001GQQT2A/ref=sr_1_2?crid=1A6G1RYW9SU0G&dib=eyJ2IjoiMSJ9.VP8J68AILIs9E0yzO1jfyq4FdUdcG0ta1mhLi9LZqtsMzS7OLE6JgNhwtV4ypIAuhE5ANc-UdyAkzuY0KIjWRohVAjztILEYM7m07Z3lIV1WUWuB9Z1lOSdchUI-7abDG23qLeDsrNoawjZpSIlBis8DehNnQaCJwue8bEPXIDu27XirAzpZ6t0v6Bif0kTnR5pMJ_enIe9Fe7Jmk3VSafE5eyvBi1aM3Ors7yzUH_AhWQ7fuY9wQoA5RM1LsKl0f9a7ittaIdkE7Zy6ubRpuaJsqZGe84mivZB71TBl62Q.RoXpgDFlj9mBT8c5SyP-CNsErqg7TTX8rnYTgGcMhLM&dib_tag=se&keywords=Land+Raider&qid=1777825851&sprefix=chaos+land+raider%2Caps%2C489&sr=8-2
Chaos Rhino,99120102092,https://www.amazon.com/Games-Workshop-GAW43-11-Chaos-Rhino/dp/B0B834LHFL/ref=sr_1_2?crid=38ZB4LO94WWDA&dib=eyJ2IjoiMSJ9.DYUZ1ct6fl-R4cFLwpsF3iJhspYqgaH4O0YETyKJRtpTDPpFV6sdvnSXCcGQha9CBh6rKf_f8i2bo2ttAEp0m-aT1oAz3Q-FKmGQi_PECJzWLlGe5wNIP1Y_UUM3gx2jwW6IsXbn6gSBKaIs_cDvbVHOGJdk9Xjr_TbGaKqLoYZ6lGIHVea3Vh_3vR6eb1LVre_QpysHZ9-B8C1SkEriNKQwMJn2561vdcA3Cdaxwq6tOkA5dkdqjx3eE3C0gdcPECqYwr3C49dwYMONv49qS1U6GLWTv00Fyfrzu2Lljhw.KOZqeYZryBJPQ2B_DoRioY0XyhFQdBnJZO4I3Hc6yKk&dib_tag=se&keywords=Chaos+Land+Raider&qid=1777825834&sprefix=chaos+land+raider%2Caps%2C222&sr=8-2
Chaos Sorcerer Lord in Terminator Armour,P-CSM-SORC-TERM,https://www.amazon.com/Games-Workshop-Warhammer-40k-Terminator/dp/B07PY4Q529/ref=sr_1_6?crid=326I6FQQQ3EVU&dib=eyJ2IjoiMSJ9.zHGwdVwVuzaD_B2bgSbtJi5CRzrPqKIAhZvNDIFiUn8t2_-Kam9PlG8anbt1HFY8sY1Nf4ET8DJD8MphSsQB0PPf-I2iTpXj1UEgdeivZONjAuyth5Eoym6uYRWZLXOyVKTEFcvbJ8hVXnEcymQNqGmPc3VHsCpgD7HdTNUjWHrEEJocFqVX3z99DDXkjdWX2O0OF9pT1U9tLpatewa4LBmqe5o5qWW7jqGCsWwPTnDyE2xmSBPAhuKqC8QZzXB9XXvfsJs4Zhkzo3i0Cnk2pbuMX0RQlMsw98ao7WNIHDs.pPWqDeOZc1iq-RUTT51G4LM1JxLSJ-xU6JxnQ2ZQ6_4&dib_tag=se&keywords=Chaos+Sorcerer+Lord+in+Terminator+Armour&qid=1777827632&sprefix=chaos+sorcerer+lord+in+terminator+armour%2Caps%2C226&sr=8-6
Chaos Space Marines Legionaries,43-06,https://www.amazon.com/Chaos-Space-Marines-Legionaries-Warhammer/dp/B0B3JT7TKX/ref=sr_1_1?crid=1W10FC9LWL3H7&dib=eyJ2IjoiMSJ9.PlSEu_fu5Cj9bmNhGQBzvf4fGYjcdKYnS0ljtz_IMy3kMdSbsXW6wDAqoLt2SStrONzLKPD4Au4iBCwPFeb_WQi9zSgNum3C6QJVVRTLhWQ56gnq72K7C8jJcVtNz_sOaqB6b7skwPrIyZ6jxn3afSuS_BU4zbls-Izr_7aRPmjSDeltMvfxdtRJnokq9TbWogx7q7L575YjvLrQ3ImrUHjDSkg3-PORtWcKzBSiALS-mFPUrKezE-gI6BSHnanHd1c12vWJVBItPoQkIroF5WDi7lAczNOvkJ6qNq5rXhc.P_nGQ9ME66lBHVk0JEY34ke2aJRZkoq5GWl4yvi_77Y&dib_tag=se&keywords=chaos+space+marines+legionnaires&qid=1777827564&sprefix=chaos+space+marines+legionaries%2Caps%2C245&sr=8-1
Chaos Space Marines Sorcerer,99070102015,https://www.amazon.com/Warhammer-Games-Workshop-40-000/dp/B081GBX6L3/ref=sr_1_4?crid=1W3IRUHMIKNTD&dib=eyJ2IjoiMSJ9.EwRyprdhk9dzX19KCD-Peqf68014pWCfdmn2s8L7MuQFoLYGkRsF7_HEtgUm6G_UsY1Nf4ET8DJD8MphSsQB0FqqEnhlD9H0acoN7zynHbueSVYXx1yjarr0rYtHttvsm0bAnX-FsNpp3iX10o5mLcHpv2kPn8xmk9sVnyWXHlS5HJgHx5m188HNtaYGlQCN2O0OF9pT1U9tLpatewa4LBmqe5o5qWW7jqGCsWwPTnAwfVZe6S1Kl7pO485zbHg_vaHuFGTS1a66Csu3Tzgby7uMX0RQlMsw98ao7WNIHDs.UvRBGaRiey_06d5nbZH2HU_AGNPTfkcP8ZMOO8aIc1E&dib_tag=se&keywords=Chaos+Sorcerer+Lord+in+Terminator+Armour&qid=1777825873&sprefix=chaos+sorcerer+lord+in+terminator+armour%2Caps%2C206&sr=8-4
Chaos Spawn,99120201050,https://www.amazon.com/Games-Workshop-99120201050-Tabletop-Miniature/dp/B01BVL23DI/ref=sr_1_1?crid=6WANZOWVXNAJ&dib=eyJ2IjoiMSJ9.d9R0vYEznA73zrgvx6tLguimR24Jfn98eBsrzYNl9k14KmdI-o4BaNpYLJTfX8QT_m5e23z2V7HQe1mJpkwDBIAORymD7xGoTharRTmBDdtaLeXYEnbc4PjeXYhcAq8_Hd5bdFngqE4toZbA1JZrxQ-26dlDtegZsJ4T9AaGvM7Sp1-my37sh-KqLheh3OQ6M7lepgCFBk--TudfP1eSRD7OLnWwg9b0GCjFo_WL6wa8mXUTsiN1HtwPBZ3hpIw4gX7oyUaxOi2dvxaZggqSP7LeOaLYXUVqcKqGdjuN3Ag.3Qv2dPSkSilSP944fAcPz5-pjgP4u9y5QKmA7kU95Js&dib_tag=se&keywords=Chaos+Spawn&qid=1777827700&sprefix=chaos+spawn%2Caps%2C193&sr=8-1
Chaos Terminator Squad,99120102097,https://www.amazon.com/Games-Workshop-Chaos-Terminators/dp/B0B4F9985P/ref=sr_1_1?crid=1LSAIK8P40RPD&dib=eyJ2IjoiMSJ9.-Pe2KIKJpbdFXbQbb63c3m6zBRE3R6MN8oqwFh-yt140aqA7eMwK9QWobJ0IuB0MlcnA3zO2A6u1StDjw2pIwdNaZrmNDR0bOGcYQEh6lD34TBq9cEdoJcGhUBtd2DGjmgcMFPV_OkC0MODvU7Hjtdhlj4zi7SMoM-q9PIMw-C7PEO30Iot6RF1Te-cuyfZ1HOH87sZNQS2M0-vvheZNOCzRRiarr7vYcUVf_ssYYVDexMzkm9Rvdv66qrWwGjD5Pmo6meSpWHt1zKitOh41FYl449yZSu40QGh7Q-fIcvQ.5rXHe0HCiB7M2kxeVk00Alt8lK_HtXeC39P0PH6N2SE&dib_tag=se&keywords=Chaos+Terminator+Squad&qid=1777827725&sprefix=chaos+terminator+squad%2Caps%2C167&sr=8-1
Chaos Vindicator,P-CSM-VINDICATOR,https://www.amazon.com/Space-Marines-Vindicator-Warhammer-000/dp/B08NHSYW88/ref=sr_1_1?crid=3RS6AZZG1KJBJ&dib=eyJ2IjoiMSJ9.fZlIrBmyzgcMDq_6mPkVA96UP75PGLChm5YK5CfcZgLfcAfDiiDG_nyvN6RcFZZ4ZIP7W92EhrPu2j67APieRkLhki144qeSU4b4KcE6FwcBI4FYKCC8vVI6ftjPKqOt.yVm0uoCXtczNaUoVurwzMP4qNObyrW1fj0rt05mJ9Us&dib_tag=se&keywords=Chaos+Vindicator&qid=1777827744&sprefix=chaos+vindicator%2Caps%2C176&sr=8-1
Chaplain on Bike,48-109,https://www.amazon.com/Games-Workshop-Warhammer-40k-Chapelain/dp/B08KHP79L7/ref=sr_1_1?crid=2JCGNMA3S85R6&dib=eyJ2IjoiMSJ9.9FCBR8YNiRd5ciJ_keR34RyQEVpGEGNFIfH6Y5IGmTlQmK6IqCKfIdW2HHMUnf-DwUTEgQtR4UMhZGV5H33-_Z7wmxKt7yBgZZCUGoE0DwqpVNbBxaMFUdNIhUM2LAAXo6mazzRcLyKqasSgsIDcWJ7DyBTCKpWn9KXJelH7ee99YUPoNY2qpjDxXtfAnUav1labAo1F3yL5ynJ2BSvJSJAka2c4225kQ_x3R9MaH34.MVPYyfLt7NmgcaAhI8nwt3lxhpBZGQwOqEs8RbIiqi4&dib_tag=se&keywords=Chaplain+on+Bike&qid=1777827771&sprefix=chaplain+on+bike%2Caps%2C190&sr=8-1
Chief Librarian Tigurius,55-33,https://www.amazon.com/Ultramarines-Chief-Librarian-Tigurius-Warhammer/dp/B08TWFNF9L/ref=sr_1_1?crid=YO24ULNRFYRA&dib=eyJ2IjoiMSJ9.QQoQYJ9P9zJl3TysKinNrrFCiBULVpgvAfI9lWlPgwnGjHj071QN20LucGBJIEps.Xa0FZB1cq02t7BqTmrRG8kzFulhXdRVGkKsOa90Rr9A&dib_tag=se&keywords=Chief+Librarian+Tigurius&qid=1777827788&sprefix=chief+librarian+tigurius%2Caps%2C185&sr=8-1
Chronomancer,prod4900148,https://www.amazon.com/Warhammer-99070110003-40k-Necrons-Chronomancer/dp/B095J16T2X/ref=sr_1_1?crid=1M308K93M6JIG&dib=eyJ2IjoiMSJ9.MMWTN4GkYh6HnHv6riOBJtLuAxvHUUs78SfkhGgoul_1WLrJ8sxd5qWqaAXu58rgFlKFdnDkQpqkJmdX0K-pwVohLKSLfIQ1e13nCXEgHsSXnjjsLnzFVhCJOjc6ZmOVx2vJh28yedp9lyUqcA5g6K_TVPbsnNSgUQuFImX42kH4RxDdU4cVg6IsB34renTc4jBFiv9MwjPtOCPvNxpogQEyiHzytL7ChKbeJYtgWseKYTh0ojfHvA29qLPjgjrzZjMh7yT3lgvoQE-RO7fNrNeklV4PrGWNftUOJQfU8jg.cdOmZwBmSpQj6WNRZ4RpSxK4xF2noOAI1Lw3xQ8hsXw&dib_tag=se&keywords=Chronomancer&qid=1777827815&sprefix=chronomancer%2Caps%2C176&sr=8-1
Codex: Aeldari,46-30,https://www.amazon.com/Aeldari-Codex-Games-Workshop-Warhammer/dp/B0DV9XM5QQ/ref=sr_1_1?crid=MA4T6EL951VM&dib=eyJ2IjoiMSJ9.P0N7zYajgFEMrJWBMtQT7UeR3Ou1qcQfR0yzdCuE9UDehLw7M7SgaeEU6YxgtfOOyUnXih8oLtHufmNcVJ_KPQu9-lrnTOyjhwHZCoBzDD_uowO5YmHEbS7spiutga8N_kjlQm-uowxCUgOVTkJJg_hqAoJfVmFmoUkFUUW9dy-quXLSmKhpTl5CdiTmuar-v9C-Xoa-JtyzsdyuduYGVFMgyRxYCHhJGbF2EsS-0rg.JKe_oXYo9e1WR1P2MuS8x3X5geZd8fjGr_qEgy_7HZc&dib_tag=se&keywords=Codex%3A+Aeldari&qid=1777827828&sprefix=codex+aeldari%2Caps%2C193&sr=8-1
Codex: Death Guard,P-213409-60030102032,https://www.amazon.com/Games-Workshop-43-03-Codex-Death/dp/1804575003/ref=sr_1_1?crid=3262NK528TB4W&dib=eyJ2IjoiMSJ9.P7Fa6JZIqB1P1lxcaYwfMtuFQyPBdwocW6Yu8ALlIXOsyy2cFGAvRI0VgIX8CiRPuVHzf1k6QFkT8Uf3-e155EHX4rt7__1eifIApdvLZz5-tfjZDFq6Q8G5p0GWCdU0dpgN0oL-UfzyPs9J4uBE7jbdhetIV9Kn1QjUyf6YM-7zxuY5-CDAGk43tjRSvI5gJz2a04JTrZ12Bn-hXrjHBwsYVELmfSMYlYV0KypUVFS3mcZOPT4tfT_8ovbBt6QAd8_2yhUjg1CesPZ1HvqHoElyBo2_zCPHhnlNS2pTcUY.mGm0yB6lP6Eg4LS07vlLRt49esnQFXO350kTaN_Ki_0&dib_tag=se&keywords=Codex%3A+Death+Guard&qid=1777827841&sprefix=codex+death+guard%2Caps%2C190&sr=8-1
Codex: Emperor's Children,65-01,https://www.amazon.com/Games-Workshop-Warhammer-Emperors-Children/dp/B0F443WYQ4/ref=sr_1_1?crid=120DPGWFILR26&dib=eyJ2IjoiMSJ9.nIWvetxjOPSIgZqvxi-vVzqcqZFcHxKzcAsLiQsCFk3t0bqmyqbJ8pzuh_GwgPv2sUfe9rrVBuPp5FVxFyRHSfeWZlnWPg_HS3_XI9M55fW-0Ym37Oek6XPFKLjiA5r62uk1w_LmxEUECW_aivmBrR7OaOXWVK6-iKloLZU4vIfluj1s24du0-0f3iHkyDsLLPVniq-oLovNflY-1XM06UWs1VILO6bGTcKs3QQog15QuekZ16FSmnHgoFCKhaL3.Y2IoZGaU9kXaOOYGEYy9-bmMiP0DPZi6cHT86MDJE-g&dib_tag=se&keywords=Codex%3A+Emperor%27s+Children&qid=1777827857&sprefix=codex+emperor%27s+children%2Caps%2C178&sr=8-1
Codex: Grey Knights,57-22,https://www.amazon.com/Warhammer-40K-CODEX-GREY-KNIGHTS/dp/1804575763/ref=sr_1_1?crid=1Q9GJP98DG9II&dib=eyJ2IjoiMSJ9.Z_t2ee6_TlX0D6--IiOSSIB5M25sdaoN1cLSE6dDf5PZvsCGrO_epSZ6klOO9NUI5ljXFo-ZxMk5JGDk5gscd3NNsnQAk2nXHBoptXbZF3kL3nlBWBAyekS_pdtYhHhieT7HsTAE4eDkCqwvNmQbR1k3jSOh-emyzk67j_qXf_5sxRDAkcTxuFQN1qHrkPucRiQWAufP6z0VJHZBFxFBGDRXm5vwGmKw73mQ4exzSTY9bO3HMoRIh5Nei16V-o-NSnmHxTJJOKSImkEb5J_ozZipiLYA65oWcIALvkjkWFk.yls15FNWVJn-WjeB-TdJ2LZpQG9Pyw51AMz3cTU_Q2A&dib_tag=se&keywords=Codex%3A+Grey+Knights&qid=1777827871&sprefix=codex+grey+knights%2Caps%2C183&sr=8-1
Codex: Leagues of Votann,P-223015-60030118002,https://www.amazon.com/Codex-Leagues-Votann-Hardback-Warhammer/dp/180457631X/ref=sr_1_1?crid=2R2BEREKMQCTK&dib=eyJ2IjoiMSJ9.AGdK12BkoBkeAId1MCFdwSSTEH_DsHvoMVppitxTICR-dGaUZldoSEruVtytZqyohOPQaCD9LZwLCGKcNZz-XBg0gVDsI-hYutrzXpWwowbs22XqN3zFkMU5CRs1VLto-qhigMFml6rS7n5CB4dmEcDhEEe3nQcj5jn6yhVuqf-mjcJNIFfFpxAvYIbJe6D5Wy1esUGCKvwqRQl5a7yG68W8lzzEnm4UhA1SwimOd2vDymTOytX3sMj__ep19A4JQId-YizXUP3LBRa_JAwfLD_9ux4B6chfR6kCyspiIoo.LUtKSlAHrH_1d2JW8yGeeFS3izLy6eNhEJfAb0BInrA&dib_tag=se&keywords=Codex%3A+Leagues+of+Votann&qid=1777827888&sprefix=codex+leagues+of+votann%2Caps%2C199&sr=8-1
Codex: Necrons,49-23,
Codex: Orks,50-34,https://www.amazon.com/Warhammer-Games-Workshop-000-2024-10th/dp/1804573205/ref=sr_1_1?crid=319X86ARW8FHG&dib=eyJ2IjoiMSJ9.4tAxTEbpaFAAhv-BLRi5XOnOQQjJs4sI0XWYcsr9qjzAzmAuZOSwyIiN0HAH1hFrxn4Eu7VDowVokgvTb3bDLnaKXQJSvz8xB3zRM-lhj-nlpcme6htjGvnGGAMd8e7K8kCPLiwNON4nZ0MPnt4dkZmtFA7KIjnAkxkuxNX-lPt3uox5n3nyxgPZOgdRiGCDE279NquVa9bCA8fTfc36dYN6u2p-p66oJMZunuaRjvn8VK_PucSTF2lJISf-qYDVqpz-XF9AeO3UtAqazaEjHEICk13W0BykyNxqOOroxPg.1Ro-VaO9jVawRgYqMCfg3FiheJGZPIc3chkl_DzYQ0U&dib_tag=se&keywords=Codex%3A+Orks&qid=1777827972&sprefix=codex+orks%2Caps%2C187&sr=8-1
Codex: Space Marines,48-110,https://www.amazon.com/Games-Workshop-Warhammer-CODEX-Marines/dp/1804572381/ref=sr_1_1?crid=3JJT2UF8TY677&dib=eyJ2IjoiMSJ9.oL_fJ7yXTyLnqebG3od4sZcJxO2hIbJHh2s1YbJcH0ZdBW74ydd1BnMX5hATAzb_ab5Bt9eoIkTxQyyM6L7TEH--SR_gsYSiqMIun8zYcIuulR41F695-sErPDuKMzwUXn_wzPHBdIbRSj88NOxQS7p62Wn6WlvbXscUk1Rw-pDTvvqySwd1z2QzPmlgpEGBI_AKxjDT6a6Hj6T1nx9UTNIYtAf68H7GOzPkXc79vec.R-jRjdHfwqly2OgemahgH-X9b9ecEG19zL6e3hiBtU4&dib_tag=se&keywords=Codex%3A+Space+Marines&qid=1777827988&sprefix=codex+space+marines%2Caps%2C191&sr=8-1
Codex Supplement: Black Templars,58-01,https://www.amazon.com/Warhammer-40K-CODEX-SUPPLEMENT-TEMPLARS/dp/B0FJMVKS4K/ref=sr_1_1?crid=HHRN7ODGQO7D&dib=eyJ2IjoiMSJ9.FnqsRB0poyzUeJYOs2KpCNeEBokKLLrvk4FyKJXal6khL8YrFx5Za6xifeQ3MolfNiZ96wvIoEY-t8yvSCjC5W7gOXfMUQ4x5_OwRNirGiT-1P1MiyiSN7AXVT7QyGdCp7AW50827gnbOY7wIXh21nE60-z2J9SSrV1ZnZVBKWtDmrIJ5OsCWeLXFVzhASn86mK8d9CRGIeK5PktGY790QU6tNM-U4WSGLgqRMwqVnEhi61hf5YlwKROX4Jhuxo1HlJXiM2_cV7yyJ2TWKHyNAWWEY8Fa7C4uzis99OylKc.-kM3CskdxZcTnwrjRJBp7JeILU9Xk_GUJALaZASrwVA&dib_tag=se&keywords=Codex+Supplement%3A+Black+Templars&qid=1777828006&sprefix=codex+supplement+black+templars%2Caps%2C195&sr=8-1
Codex Supplement: Blood Angels,41-29,https://www.amazon.com/Warhammer-40k-Blood-Angels-Supplement/dp/1804574449/ref=sr_1_1?crid=1U4KBU6Q2MMZB&dib=eyJ2IjoiMSJ9.8tEiYQNNavZiAlW4OTrE3TSsiBB10bKT24L5q4M7sJSpQ5cx03ND6l-7tH87k-U1ntdr16OUHE0hN3LSFXEWZNCtoB6oD_Bg6K-GRhzBWrI.-fYUaakamrEnBAW1qdPdITTNGV8hpcPqK1GyvrUVABI&dib_tag=se&keywords=Codex+Supplement%3A+Blood+Angels&qid=1777828019&sprefix=codex+supplement+blood+angels%2Caps%2C189&sr=8-1
Codex Supplement: Dark Angels,44-21,https://www.amazon.com/Warhammer-40k-Codex-Supplement-Angels/dp/1804573116/ref=sr_1_1?crid=AC2PVIG5YFR2&dib=eyJ2IjoiMSJ9.7hhvlYaZH935V-8dPBkBEc8fTmCyoEEjJlD2Ay92r6Tk5xxwXw03xAKqTtH3fwpv_Z4hjgRWtKTcZ2V5gybuAtNJdFlZGfNKdPAkT4WQCSvAQ_9gOQy1Ji8_blyP6zqFIrZamtjI8YDlNj1Mmokw6le3jWggbJTwOxOrXLBNsaW6cUm1sZBKTIYVEXh3awAvX2I-wmIheEBjs5houmSlO5j4rsOqiygQuOZhEqGJV0hjs98OrEVXxsDDF97GlWChwhVigmQacn-fgQwk2ptEPvPKsNJ5u-zNWWpkwHxFxrY.pUavm5IRRjBi97nkEiRwFkRp3tsLbWtua1vuqFQq17s&dib_tag=se&keywords=Codex+Supplement%3A+Dark+Angels&qid=1777828032&sprefix=codex+supplement+dark+angels%2Caps%2C177&sr=8-1
